rank,cp,ivs,maxlevel,stat-product
1,1499,1 15 14,18.5,1691140
2,1498,2 15 12,18.5,1685594
3,1495,0 15 15,18.5,1683819
4,1492,0 15 14,18.5,1683819
5,1500,3 14 12,18.5,1682783
6,1497,1 14 15,18.5,1681074
7,1494,1 14 14,18.5,1681074
8,1495,1 15 13,18.5,1678329
9,1492,1 15 12,18.5,1678329
10,1499,2 13 15,18.5,1678242
11,1496,2 13 14,18.5,1678242
12,1500,0 10 11,19,1677843
13,1499,0 15 4,19,1676907
14,1497,2 14 13,18.5,1675561
15,1494,2 14 12,18.5,1675561
16,1497,0 11 9,19,1675348
17,1498,3 12 14,18.5,1675322
18,1491,0 14 15,18.5,1673797
19,1488,0 14 14,18.5,1673797
20,1495,2 15 11,18.5,1672727
21,1499,3 13 13,18.5,1672707
22,1496,3 13 12,18.5,1672707
23,1499,0 12 8,19,1672696
24,1499,1 10 9,19,1672372
25,1500,4 11 14,18.5,1672315
26,1499,0 7 15,19,1671917
27,1489,0 15 13,18.5,1671063
28,1486,0 15 12,18.5,1671063
29,1493,1 13 15,18.5,1671008
30,1490,1 13 14,18.5,1671008
31,1497,3 14 11,18.5,1669937
32,1500,0 13 7,19,1669889
33,1496,0 13 6,19,1669889
34,1500,0 8 14,19,1669811
35,1497,0 8 13,19,1669811
36,1498,4 12 12,18.5,1669766
37,1500,1 6 15,19,1668691
38,1491,1 14 13,18.5,1668339
39,1488,1 14 12,18.5,1668339
40,1495,2 12 15,18.5,1668132
41,1492,2 12 14,18.5,1668132
42,1498,0 9 12,19,1667550
43,1495,0 9 11,19,1667550
44,1499,4 13 11,18.5,1667062
45,1498,1 12 6,19,1667046
46,1498,3 15 10,18.5,1667014
47,1495,3 15 9,18.5,1667014
48,1498,0 14 5,19,1666926
49,1494,0 14 4,19,1666926
50,1500,5 11 12,18.5,1666738
51,1499,1 7 13,19,1666654
52,1493,2 13 13,18.5,1665528
53,1490,2 13 12,18.5,1665528
54,1489,1 15 11,18.5,1665517
55,1497,3 11 15,18.5,1665168
56,1493,3 11 14,18.5,1665168
57,1496,0 10 10,19,1665132
58,1493,0 10 9,19,1665132
59,1500,1 8 12,19,1664462
60,1497,1 8 11,19,1664462
61,1500,4 14 10,18.5,1664204
62,1497,4 14 9,18.5,1664204
63,1500,1 13 5,19,1664148
64,1496,1 13 4,19,1664148
65,1500,2 11 6,19,1664116
66,1495,0 15 3,19,1663806
67,1486,0 13 15,18.5,1663774
68,1483,0 13 14,18.5,1663774
69,1500,2 6 13,19,1663408
70,1491,2 14 11,18.5,1662770
71,1495,3 12 13,18.5,1662630
72,1491,3 12 12,18.5,1662630
73,1499,7 15 15,18,1662612
74,1496,7 15 14,18,1662612
75,1494,0 11 8,19,1662559
76,1498,4 10 15,18.5,1662118
77,1495,4 10 14,18.5,1662118
78,1498,1 9 10,19,1662112
79,1495,1 9 9,19,1662112
80,1494,0 6 15,19,1661467
81,1499,5 13 9,18.5,1661308
82,1499,2 7 11,19,1661284
83,1498,2 12 4,19,1661284
84,1498,4 15 8,18.5,1661191
85,1495,4 15 7,18.5,1661191
86,1484,0 14 13,18.5,1661116
87,1481,0 14 12,18.5,1661116
88,1497,1 14 3,19,1661094
89,1488,1 12 15,18.5,1660941
90,1485,1 12 14,18.5,1660941
91,1493,3 13 11,18.5,1659938
92,1492,2 15 10,18.5,1659860
93,1489,2 15 9,18.5,1659860
94,1495,0 12 7,19,1659829
95,1492,0 12 6,19,1659829
96,1498,8 14 14,18,1659689
97,1497,4 11 13,18.5,1659646
98,1493,4 11 12,18.5,1659646
99,1496,1 10 8,19,1659606
