rank,cp,ivs,maxlevel,stat-product,stats
1,1498,0 15 14,38.5,2065115,108.67 161.05 118
2,1499,0 11 15,39,2057077,109.06 158.5 119
3,1499,0 14 15,38.5,2055090,108.67 160.27 118
4,1494,0 14 14,38.5,2055090,108.67 160.27 118
5,1499,1 14 15,38,2054772,109.05 159.68 118
6,1500,0 11 13,39.5,2054566,109.46 159.07 118
7,1500,0 14 13,39,2052542,109.06 160.85 117
8,1500,1 14 13,38.5,2052334,109.45 160.27 117
9,1492,0 15 15,38,2050047,108.27 160.46 118
10,1498,0 12 14,39,2049889,109.06 159.28 118
11,1498,1 12 14,38.5,2049681,109.45 158.7 118
12,1493,0 15 13,38.5,2047614,108.67 161.05 117
13,1498,1 15 14,38,2047297,109.05 160.46 117
14,1499,0 12 12,39.5,2047239,109.46 159.86 117
15,1495,0 10 15,39,2046894,109.06 157.71 119
16,1497,2 15 14,37.5,2046766,109.43 159.87 117
17,1496,0 13 15,38.5,2045065,108.67 159.49 118
18,1491,0 13 14,38.5,2045065,108.67 159.49 118
19,1499,0 15 12,39,2044925,109.06 161.64 116
20,1494,0 15 11,39,2044925,109.06 161.64 116
21,1495,1 13 15,38,2044749,109.05 158.9 118
22,1499,1 15 12,38.5,2044718,109.45 161.05 116
23,1496,0 10 13,39.5,2044395,109.46 158.28 118
24,1499,0 12 10,40,2044338,109.85 160.43 116
25,1498,2 15 12,38,2044298,109.83 160.46 116
26,1496,0 13 13,39,2042529,109.06 160.07 117
27,1496,1 13 13,38.5,2042322,109.45 159.49 117
28,1499,0 15 10,39.5,2041981,109.46 162.22 115
29,1498,0 5 15,40,2041907,109.85 154.9 120
30,1499,1 15 10,39,2041882,109.85 161.64 115
31,1499,0 8 15,39.5,2041206,109.46 156.71 119
32,1499,1 8 15,39,2041106,109.85 156.14 119
33,1494,0 11 14,39,2039791,109.06 158.5 118
34,1497,0 13 11,39.5,2039740,109.46 160.64 116
35,1497,1 13 11,39,2039641,109.85 160.07 116
36,1499,1 11 15,38.5,2039584,109.45 157.92 118
37,1494,1 11 14,38.5,2039584,109.45 157.92 118
38,1499,2 11 15,38,2039165,109.83 157.34 118
39,1500,1 15 8,39.5,2038788,110.25 162.22 114
40,1500,0 15 8,40,2038782,109.85 162.8 114
41,1499,1 8 13,39.5,2038614,110.25 156.71 118
42,1499,0 8 13,40,2038608,109.85 157.27 118
43,1494,1 14 14,38,2037359,109.05 159.68 117
44,1495,0 11 12,39.5,2037154,109.46 159.07 117
45,1500,1 11 13,39,2037055,109.85 158.5 117
46,1499,2 14 15,37.5,2036830,109.43 159.09 117
47,1494,2 14 14,37.5,2036830,109.43 159.09 117
48,1500,2 11 13,38.5,2036744,110.23 157.92 117
49,1492,0 9 15,39,2036710,109.06 156.93 119
50,1498,0 13 9,40,2036698,109.85 161.22 115
51,1498,3 14 15,37,2036088,109.79 158.5 117
52,1500,1 15 6,40,2035436,110.64 162.8 113
53,1497,0 6 14,40,2035222,109.85 155.69 119
54,1497,4 14 15,36.5,2035131,110.15 157.91 117
55,1492,0 12 15,38.5,2035040,108.67 158.7 118
56,1495,0 14 12,39,2034999,109.06 160.85 116
57,1490,0 14 11,39,2034999,109.06 160.85 116
58,1495,1 14 12,38.5,2034792,109.45 160.27 116
59,1492,1 12 15,38,2034726,109.05 158.12 118
60,1500,2 14 13,38,2034374,109.83 159.68 116
61,1495,2 14 12,38,2034374,109.83 159.68 116
62,1496,0 11 10,40,2034267,109.85 159.64 116
63,1497,0 9 14,39.5,2034224,109.46 157.49 118
64,1492,0 9 13,39.5,2034224,109.46 157.49 118
65,1497,1 9 14,39,2034124,109.85 156.93 118
66,1500,2 11 11,39,2034070,110.63 158.5 116
67,1497,2 9 14,38.5,2033814,110.23 156.36 118
68,1499,3 14 13,37.5,2033744,110.2 159.09 116
