rank,cp,ivs,maxlevel,stat-product
1,1261,15 15 15,40,1426652
2,1252,14 15 15,40,1416534
3,1256,15 14 15,40,1416084
4,1257,15 15 14,40,1414763
5,1243,13 15 15,40,1406415
6,1247,14 14 15,40,1406041
7,1252,15 13 15,40,1405516
8,1248,14 15 14,40,1404729
9,1252,15 14 14,40,1404283
10,1253,15 15 13,40,1402874
11,1234,12 15 15,40,1396297
12,1239,13 14 15,40,1395998
13,1243,14 13 15,40,1395548
14,1247,15 12 15,40,1394948
15,1239,13 15 14,40,1394695
16,1243,14 14 14,40,1394324
17,1248,15 13 14,40,1393803
18,1244,14 15 13,40,1392925
19,1248,15 14 13,40,1392482
20,1249,15 15 12,40,1390985
21,1225,11 15 15,40,1386179
22,1230,12 14 15,40,1385954
23,1234,13 13 15,40,1385580
24,1238,14 12 15,40,1385055
25,1230,12 15 14,40,1384662
26,1242,15 11 15,40,1384380
27,1234,13 14 14,40,1384364
28,1239,14 13 14,40,1383918
29,1243,15 12 14,40,1383324
30,1235,13 15 13,40,1382975
31,1239,14 14 13,40,1382607
32,1243,15 13 13,40,1382091
33,1240,14 15 12,40,1381120
34,1244,15 14 12,40,1380682
35,1244,15 15 11,40,1379097
36,1240,15 15 10,40,1379097
37,1216,10 15 15,40,1376061
38,1221,11 14 15,40,1375911
39,1225,12 13 15,40,1375611
40,1229,13 12 15,40,1375162
41,1221,11 15 14,40,1374628
42,1233,14 11 15,40,1374562
43,1226,12 14 14,40,1374405
44,1230,13 13 14,40,1374033
45,1237,15 10 15,40,1373813
46,1234,14 12 14,40,1373513
47,1226,12 15 13,40,1373026
48,1238,15 11 14,40,1372844
49,1230,13 14 13,40,1372731
50,1235,14 13 13,40,1372289
51,1239,15 12 13,40,1371699
52,1231,13 15 12,40,1371255
53,1235,14 14 12,40,1370890
54,1239,15 13 12,40,1370378
55,1235,14 15 11,40,1369316
56,1231,14 15 10,40,1369316
57,1240,15 14 11,40,1368881
58,1235,15 14 10,40,1368881
59,1236,15 15 9,40,1367208
60,1207,9 15 15,40,1365943
61,1212,10 14 15,40,1365868
62,1216,11 13 15,40,1365643
63,1220,12 12 15,40,1365268
64,1225,13 11 15,40,1364744
65,1212,10 15 14,40,1364594
66,1217,11 14 14,40,1364445
67,1221,12 13 14,40,1364148
68,1229,14 10 15,40,1364069
69,1225,13 12 14,40,1363702
70,1233,15 9 15,40,1363245
71,1229,14 11 14,40,1363107
72,1217,11 15 13,40,1363076
73,1221,12 14 13,40,1362855
74,1226,13 13 13,40,1362487
75,1233,15 10 14,40,1362364
76,1230,14 12 13,40,1361971
77,1222,12 15 12,40,1361390
78,1234,15 11 13,40,1361307
79,1226,13 14 12,40,1361098
80,1230,14 13 12,40,1360659
81,1235,15 12 12,40,1360075
82,1227,13 15 11,40,1359535
83,1222,13 15 10,40,1359535
84,1231,14 14 11,40,1359173
85,1227,14 14 10,40,1359173
86,1235,15 13 11,40,1358665
87,1231,15 13 10,40,1358665
88,1227,14 15 9,40,1357511
89,1231,15 14 9,40,1357080
90,1203,9 14 15,40,1355825
91,1198,8 15 15,40,1355825
92,1207,10 13 15,40,1355675
93,1212,11 12 15,40,1355375
94,1232,15 15 8,40,1355319
95,1216,12 11 15,40,1354926
96,1203,9 15 14,40,1354560
97,1208,10 14 14,40,1354486
98,1220,13 10 15,40,1354326
99,1212,11 13 14,40,1354263
100,1216,12 12 14,40,1353891
101,1224,14 9 15,40,1353576
102,1221,13 11 14,40,1353371
103,1208,10 15 13,40,1353127
104,1213,11 14 13,40,1352979
105,1225,14 10 14,40,1352702
106,1217,12 13 13,40,1352685
107,1228,15 8 15,40,1352677
108,1221,13 12 13,40,1352242
109,1229,15 9 14,40,1351884
110,1225,14 11 13,40,1351653
111,1213,11 15 12,40,1351525
112,1217,12 14 12,40,1351306
113,1222,13 13 12,40,1350940
114,1229,15 10 13,40,1350916
115,1226,14 12 12,40,1350429
116,1230,15 11 12,40,1349771
117,1218,12 15 11,40,1349754
118,1214,12 15 10,40,1349754
119,1222,13 14 11,40,1349464
120,1218,13 14 10,40,1349464
121,1226,14 13 11,40,1349030
122,1222,14 13 10,40,1349030
123,1230,15 12 11,40,1348450
124,1226,15 12 10,40,1348450
125,1218,13 15 9,40,1347815
126,1223,14 14 9,40,1347456
127,1227,15 13 9,40,1346953
128,1194,8 14 15,40,1345782
129,1189,7 15 15,40,1345707
130,1198,9 13 15,40,1345707
131,1223,14 15 8,40,1345707
132,1203,10 12 15,40,1345482
133,1227,15 14 8,40,1345280
134,1207,11 11 15,40,1345107
135,1211,12 10 15,40,1344583
136,1199,9 14 14,40,1344526
137,1194,8 15 14,40,1344526
138,1203,10 13 14,40,1344378
139,1208,11 12 14,40,1344080
140,1215,13 9 15,40,1343908
141,1212,12 11 14,40,1343634
142,1227,15 15 7,40,1343430
143,1223,15 15 6,40,1343430
144,1199,9 15 13,40,1343177
145,1204,10 14 13,40,1343104
146,1219,14 8 15,40,1343084
147,1216,13 10 14,40,1343040
148,1208,11 13 13,40,1342883
149,1212,12 12 13,40,1342514
150,1220,14 9 14,40,1342297
151,1223,15 7 15,40,1342109
152,1216,13 11 13,40,1341998
153,1204,10 15 12,40,1341660
154,1209,11 14 12,40,1341513
155,1224,15 8 14,40,1341405
156,1221,14 10 13,40,1341335
157,1213,12 13 12,40,1341221
158,1217,13 12 12,40,1340783
159,1225,15 9 13,40,1340524
160,1221,14 11 12,40,1340198
161,1209,11 15 11,40,1339973
162,1205,11 15 10,40,1339973
163,1213,12 14 11,40,1339756
164,1209,12 14 10,40,1339756
165,1225,15 10 12,40,1339467
166,1218,13 13 11,40,1339394
167,1213,13 13 10,40,1339394
168,1222,14 12 11,40,1338886
169,1218,14 12 10,40,1338886
170,1226,15 11 11,40,1338234
171,1222,15 11 10,40,1338234
172,1210,12 15 9,40,1338118
173,1214,13 14 9,40,1337831
174,1218,14 13 9,40,1337400
175,1222,15 12 9,40,1336825
176,1214,13 15 8,40,1336095
177,1185,7 14 15,40,1335739
178,1189,8 13 15,40,1335739
179,1218,14 14 8,40,1335739
180,1180,6 15 15,40,1335589
181,1194,9 12 15,40,1335589
182,1198,10 11 15,40,1335289
183,1222,15 13 8,40,1335240
184,1202,11 10 15,40,1334839
185,1190,8 14 14,40,1334567
186,1194,9 13 14,40,1334493
187,1186,7 15 14,40,1334493
188,1199,10 12 14,40,1334270
189,1206,12 9 15,40,1334240
190,1219,14 15 7,40,1333902
191,1214,14 15 6,40,1333902
192,1203,11 11 14,40,1333898
193,1210,13 8 15,40,1333490
194,1223,15 14 7,40,1333479
195,1219,15 14 6,40,1333479
196,1207,12 10 14,40,1333378
197,1195,9 14 13,40,1333228
198,1190,8 15 13,40,1333228
199,1199,10 13 13,40,1333080
200,1204,11 12 13,40,1332786
201,1211,13 9 14,40,1332709
202,1214,14 7 15,40,1332591
203,1208,12 11 13,40,1332343
204,1215,14 8 14,40,1331891
