rank,cp,ivs,maxlevel,stat-product,stats
1,1497,0 15 14,37,1707426,130.67 100.51 130
2,1496,0 14 15,37,1707325,130.67 99.74 131
3,1498,0 14 13,37.5,1706930,131.15 100.11 130
4,1499,0 15 12,37.5,1706930,131.15 100.89 129
5,1497,0 13 14,37.5,1706727,131.15 99.34 131
6,1500,0 14 11,38,1706341,131.64 100.48 129
7,1499,0 13 12,38,1706239,131.64 99.7 130
8,1500,0 11 15,38,1705419,131.64 98.15 132
9,1499,1 15 15,36.5,1704717,130.95 100.14 130
10,1495,1 15 14,36.5,1704717,130.95 100.14 130
11,1500,1 14 14,37,1704317,131.44 99.74 130
12,1497,1 15 12,37,1704317,131.44 100.51 129
13,1499,1 13 15,37,1704114,131.44 98.97 131
14,1499,1 15 10,37.5,1703720,131.93 100.89 128
15,1499,1 12 14,37.5,1703413,131.93 98.56 131
16,1497,2 15 15,36,1701857,131.22 99.76 130
17,1498,2 14 14,36.5,1701554,131.72 99.37 130
18,1499,2 15 13,36.5,1701554,131.72 100.14 129
19,1500,2 14 12,37,1701155,132.21 99.74 129
20,1499,3 14 15,36,1698642,131.99 98.99 130
21,1498,4 15 14,35.5,1695580,132.26 99.38 129
22,1490,0 15 15,36.5,1694689,130.18 100.14 130
23,1491,0 14 14,37,1694292,130.67 99.74 130
24,1493,0 15 13,37,1694292,130.67 100.51 129
25,1490,0 13 15,37,1694090,130.67 98.97 131
26,1493,0 14 12,37.5,1693800,131.15 100.11 129
27,1492,0 13 13,37.5,1693698,131.15 99.34 130
28,1495,0 15 11,37.5,1693698,131.15 100.89 128
29,1490,0 15 10,37.5,1693698,131.15 100.89 128
30,1495,0 12 15,37.5,1693393,131.15 98.56 131
31,1491,0 12 14,37.5,1693393,131.15 98.56 131
32,1494,0 13 11,38,1693114,131.64 99.7 129
33,1495,0 14 10,38,1693114,131.64 100.48 128
34,1497,0 12 13,38,1692909,131.64 98.92 130
35,1493,0 12 12,38,1692909,131.64 98.92 130
36,1497,0 15 9,38,1692909,131.64 101.26 127
37,1496,0 11 14,38,1692499,131.64 98.15 131
38,1500,5 15 15,35,1692368,132.51 99 129
39,1496,0 13 9,38.5,1692337,132.12 100.07 128
40,1499,0 12 11,38.5,1692234,132.12 99.29 129
41,1497,0 14 8,38.5,1692234,132.12 100.85 127
42,1498,0 11 12,38.5,1691924,132.12 98.51 130
43,1498,0 15 7,38.5,1691924,132.12 101.63 126
44,1494,0 10 15,38,1691883,131.64 97.37 132
45,1493,1 14 15,36.5,1691603,130.95 99.37 130
46,1490,1 15 13,36.5,1691603,130.95 100.14 129
47,1496,0 10 13,38.5,1691407,132.12 97.72 131
48,1498,0 13 7,39,1691367,132.6 100.43 127
49,1496,1 14 13,37,1691207,131.44 99.74 129
50,1491,1 14 12,37,1691207,131.44 99.74 129
51,1500,0 11 10,39,1691159,132.6 98.86 129
52,1499,0 14 6,39,1691159,132.6 101.22 126
53,1494,1 13 14,37,1691105,131.44 98.97 130
54,1492,1 15 11,37,1691105,131.44 100.51 128
55,1493,1 12 15,37,1690800,131.44 98.19 131
56,1498,0 10 11,39,1690743,132.6 98.08 130
57,1500,0 15 5,39,1690743,132.6 102 125
58,1499,0 9 15,38.5,1690684,132.12 96.94 132
59,1495,0 9 14,38.5,1690684,132.12 96.94 132
60,1496,1 13 12,37.5,1690615,131.93 99.34 129
61,1498,1 14 11,37.5,1690615,131.93 100.11 128
62,1493,1 14 10,37.5,1690615,131.93 100.11 128
63,1495,1 12 13,37.5,1690410,131.93 98.56 130
64,1494,1 15 9,37.5,1690410,131.93 100.89 127
65,1497,0 9 12,39,1690118,132.6 97.29 131
66,1498,1 11 15,37.5,1690000,131.93 97.78 131
67,1494,1 11 14,37.5,1690000,131.93 97.78 131
68,1498,1 13 10,38,1689930,132.42 99.7 128
69,1500,0 10 9,39.5,1689890,133.08 98.43 129
70,1500,0 14 4,39.5,1689890,133.08 101.58 125
71,1497,1 12 11,38,1689827,132.42 98.92 129
72,1500,1 14 9,38,1689827,132.42 100.48 127
73,1500,1 11 13,38,1689517,132.42 98.15 130
74,1496,1 11 12,38,1689517,132.42 98.15 130
75,1496,1 15 7,38,1689517,132.42 101.26 126
76,1500,0 8 14,39,1689286,132.6 96.51 132
77,1499,1 12 9,38.5,1689051,132.9 99.29 128
78,1500,1 13 8,38.5,1689051,132.9 100.07 127
79,1499,1 10 14,38,1689001,132.42 97.37 131
80,1491,2 14 15,36,1688766,131.22 98.99 130
81,1492,2 15 14,36,1688766,131.22 99.76 129
82,1493,2 14 13,36.5,1688465,131.72 99.37 129
83,1498,1 15 5,38.5,1688428,132.9 101.63 125
84,1496,2 13 15,36.5,1688364,131.72 98.6 130
85,1492,2 13 14,36.5,1688364,131.72 98.6 130
86,1495,2 15 12,36.5,1688364,131.72 100.14 128
87,1497,1 9 15,38,1688279,132.42 96.59 132
88,1498,0 7 15,39,1688246,132.6 95.73 133
89,1499,2 13 13,37,1687968,132.21 98.97 129
90,1494,2 13 12,37,1687968,132.21 98.97 129
91,1495,2 14 11,37,1687968,132.21 99.74 128
92,1499,1 9 13,38.5,1687804,132.9 96.94 131
93,1497,2 12 14,37,1687763,132.21 98.19 130
94,1497,2 15 10,37,1687763,132.21 100.51 127
95,1500,0 7 13,39.5,1687689,133.08 96.07 132
96,1496,2 13 10,37.5,1687377,132.71 99.34 128
97,1496,2 11 15,37,1687355,132.21 97.42 131
98,1499,2 12 12,37.5,1687274,132.71 98.56 129
99,1497,2 14 9,37.5,1687274,132.71 100.11 127
100,1498,1 8 14,38.5,1686973,132.9 96.16 132
101,1498,2 11 13,37.5,1686965,132.71 97.78 130
102,1499,2 15 8,37.5,1686965,132.71 100.89 126
103,1498,0 6 14,39.5,1686536,133.08 95.28 133
104,1496,2 10 14,37.5,1686450,132.71 97.01 131
105,1500,1 8 12,39,1686408,133.39 96.51 131
106,1500,2 11 11,38,1686383,133.2 98.15 129
107,1499,2 14 7,38,1686383,133.2 100.48 126
108,1499,2 10 12,38,1685968,133.2 97.37 130
109,1500,2 15 6,38,1685968,133.2 101.26 125
110,1494,3 15 15,35.5,1685779,131.49 99.38 129
111,1489,3 15 14,35.5,1685779,131.49 99.38 129
112,1495,3 14 14,36,1685575,131.99 98.99 129
113,1494,3 13 15,36,1685474,131.99 98.23 130
114,1496,3 15 13,36,1685474,131.99 99.76 128
115,1492,3 15 12,36,1685474,131.99 99.76 128
116,1496,3 13 13,36.5,1685174,132.49 98.6 129
117,1497,3 14 12,36.5,1685174,132.49 99.37 128
118,1499,3 12 15,36.5,1684970,132.49 97.83 130
119,1495,3 12 14,36.5,1684970,132.49 97.83 130
120,1499,3 15 11,36.5,1684970,132.49 100.14 127
121,1494,3 15 10,36.5,1684970,132.49 100.14 127
122,1498,3 13 11,37,1684678,132.99 98.97 128
123,1497,3 12 12,37,1684575,132.99 98.19 129
124,1500,3 14 10,37,1684575,132.99 99.74 127
