rank,cp,ivs,maxlevel,stat-product
1,1136,15 15 15,40,1379659
2,1133,15 15 14,40,1370815
3,1131,15 14 15,40,1368162
4,1126,14 15 15,40,1367967
5,1130,15 15 13,40,1361971
6,1127,15 15 12,40,1361971
7,1128,15 14 14,40,1359391
8,1123,14 15 14,40,1359198
9,1126,15 13 15,40,1356664
10,1121,14 14 15,40,1356567
11,1116,13 15 15,40,1356275
12,1124,15 15 11,40,1353127
13,1125,15 14 13,40,1350621
14,1122,15 14 12,40,1350621
15,1120,14 15 13,40,1350429
16,1117,14 15 12,40,1350429
17,1123,15 13 14,40,1347968
18,1118,14 14 14,40,1347871
19,1113,13 15 14,40,1347581
20,1121,15 12 15,40,1345167
21,1116,14 13 15,40,1345167
22,1112,13 14 15,40,1344972
23,1107,12 15 15,40,1344583
24,1121,15 15 10,40,1344283
25,1119,15 14 11,40,1341851
26,1114,14 15 11,40,1341660
27,1120,15 13 13,40,1339271
28,1117,15 13 12,40,1339271
29,1116,14 14 13,40,1339175
30,1113,14 14 12,40,1339175
31,1111,13 15 13,40,1338886
32,1108,13 15 12,40,1338886
33,1118,15 12 14,40,1336544
34,1114,14 13 14,40,1336544
35,1109,13 14 14,40,1336351
36,1104,12 15 14,40,1335963
37,1118,15 15 9,40,1335439
38,1112,14 12 15,40,1333767
39,1116,15 11 15,40,1333670
40,1107,13 13 15,40,1333670
41,1102,12 14 15,40,1333378
42,1116,15 14 10,40,1333080
43,1097,11 15 15,40,1332891
44,1112,14 15 10,40,1332891
45,1115,15 13 11,40,1330575
46,1110,14 14 11,40,1330479
47,1105,13 15 11,40,1330192
48,1116,15 12 13,40,1327921
49,1113,15 12 12,40,1327921
50,1111,14 13 13,40,1327921
51,1108,14 13 12,40,1327921
52,1106,13 14 13,40,1327729
53,1103,13 14 12,40,1327729
54,1101,12 15 13,40,1327344
55,1098,12 15 12,40,1327344
56,1115,15 15 8,40,1326595
57,1112,15 15 7,40,1326595
58,1109,14 12 14,40,1325218
59,1114,15 11 14,40,1325121
60,1104,13 13 14,40,1325121
61,1099,12 14 14,40,1324830
62,1094,11 15 14,40,1324346
63,1114,15 14 9,40,1324310
64,1109,14 15 9,40,1324122
65,1107,14 11 15,40,1322368
66,1102,13 12 15,40,1322368
67,1112,15 10 15,40,1322173
68,1097,12 13 15,40,1322173
69,1112,15 13 10,40,1321878
70,1092,11 14 15,40,1321783
71,1107,14 14 10,40,1321783
72,1102,13 15 10,40,1321498
73,1087,10 15 15,40,1321199
74,1110,15 12 11,40,1319299
75,1105,14 13 11,40,1319299
76,1100,13 14 11,40,1319107
77,1095,12 15 11,40,1318725
78,1109,15 15 6,40,1317751
79,1106,14 12 13,40,1316668
80,1103,14 12 12,40,1316668
81,1111,15 11 13,40,1316572
82,1108,15 11 12,40,1316572
83,1101,13 13 13,40,1316572
84,1099,13 13 12,40,1316572
85,1096,12 14 13,40,1316283
86,1094,12 14 12,40,1316283
87,1091,11 15 13,40,1315802
88,1089,11 15 12,40,1315802
89,1111,15 14 8,40,1315540
90,1108,15 14 7,40,1315540
91,1106,14 15 8,40,1315353
92,1103,14 15 7,40,1315353
93,1104,14 11 14,40,1313891
94,1099,13 12 14,40,1313891
95,1109,15 10 14,40,1313697
96,1095,12 13 14,40,1313697
97,1090,11 14 14,40,1313310
98,1109,15 13 9,40,1313182
99,1104,14 14 9,40,1313087
100,1099,13 15 9,40,1312804
101,1085,10 15 14,40,1312729
102,1098,13 11 15,40,1311065
103,1102,14 10 15,40,1310968
104,1093,12 12 15,40,1310968
105,1107,15 9 15,40,1310676
106,1088,11 13 15,40,1310676
107,1107,15 12 10,40,1310676
108,1102,14 13 10,40,1310676
109,1097,13 14 10,40,1310486
110,1083,10 14 15,40,1310189
111,1093,12 15 10,40,1310106
112,1078,9 15 15,40,1309507
113,1106,15 15 5,40,1308907
114,1100,14 12 11,40,1308118
115,1105,15 11 11,40,1308023
116,1096,13 13 11,40,1308023
117,1091,12 14 11,40,1307736
118,1086,11 15 11,40,1307258
119,1105,15 14 6,40,1306770
120,1100,14 15 6,40,1306584
121,1101,14 11 13,40,1305414
122,1099,14 11 12,40,1305414
123,1097,13 12 13,40,1305414
124,1094,13 12 12,40,1305414
125,1106,15 10 13,40,1305222
126,1103,15 10 12,40,1305222
127,1092,12 13 13,40,1305222
128,1089,12 13 12,40,1305222
129,1087,11 14 13,40,1304837
130,1084,11 14 12,40,1304837
131,1106,15 13 8,40,1304485
132,1103,15 13 7,40,1304485
133,1101,14 14 8,40,1304391
134,1098,14 14 7,40,1304391
135,1082,10 15 13,40,1304260
136,1079,10 15 12,40,1304260
137,1096,13 15 8,40,1304110
138,1093,13 15 7,40,1304110
139,1095,13 11 14,40,1302661
140,1099,14 10 14,40,1302564
141,1090,12 12 14,40,1302564
142,1104,15 9 14,40,1302274
143,1085,11 13 14,40,1302274
144,1104,15 12 9,40,1302053
145,1099,14 13 9,40,1302053
146,1095,13 14 9,40,1301864
147,1080,10 14 14,40,1301790
148,1090,12 15 9,40,1301487
149,1075,9 15 14,40,1301112
150,1104,15 15 4,40,1300063
151,1093,13 10 15,40,1299763
152,1088,12 11 15,40,1299763
153,1097,14 9 15,40,1299568
154,1083,11 12 15,40,1299568
155,1098,14 12 10,40,1299568
156,1102,15 11 10,40,1299473
157,1093,13 13 10,40,1299473
158,1088,12 14 10,40,1299189
159,1102,15 8 15,40,1299179
160,1078,10 13 15,40,1299179
161,1083,11 15 10,40,1298714
162,1073,9 14 15,40,1298594
163,1102,15 14 5,40,1297999
164,1068,8 15 15,40,1297814
165,1097,14 15 5,40,1297814
166,1096,14 11 11,40,1296938
167,1091,13 12 11,40,1296938
168,1100,15 10 11,40,1296746
169,1086,12 13 11,40,1296746
170,1081,11 14 11,40,1296364
171,1076,10 15 11,40,1295791
172,1100,15 13 6,40,1295788
173,1095,14 14 6,40,1295695
174,1091,13 15 6,40,1295416
175,1092,13 11 13,40,1294257
176,1089,13 11 12,40,1294257
177,1097,14 10 13,40,1294161
178,1094,14 10 12,40,1294161
179,1087,12 12 13,40,1294161
180,1084,12 12 12,40,1294161
181,1101,15 9 13,40,1293872
182,1098,15 9 12,40,1293872
183,1082,11 13 13,40,1293872
184,1080,11 13 12,40,1293872
185,1101,15 12 8,40,1293430
186,1098,15 12 7,40,1293430
187,1097,14 13 8,40,1293430
188,1094,14 13 7,40,1293430
189,1077,10 14 13,40,1293391
190,1075,10 14 12,40,1293391
191,1092,13 14 8,40,1293243
192,1089,13 14 7,40,1293243
193,1087,12 15 8,40,1292868
194,1084,12 15 7,40,1292868
195,1072,9 15 13,40,1292718
196,1070,9 15 12,40,1292718
197,1090,13 10 14,40,1291431
198,1085,12 11 14,40,1291431
199,1095,14 9 14,40,1291238
200,1080,11 12 14,40,1291238
201,1101,15 15 3,40,1291219
202,1098,15 15 2,40,1291219
203,1095,14 12 9,40,1291019
204,1099,15 11 9,40,1290924
205,1090,13 13 9,40,1290924
206,1099,15 8 14,40,1290850
207,1076,10 13 14,40,1290850
208,1085,12 14 9,40,1290641
209,1071,9 14 14,40,1290270
210,1080,11 15 9,40,1290170
211,1065,8 15 14,40,1289495
212,1099,15 14 4,40,1289229
213,1094,14 15 4,40,1289045
214,1083,12 10 15,40,1288558
215,1088,13 9 15,40,1288461
216,1079,11 11 15,40,1288461
217,1093,14 11 10,40,1288461
218,1088,13 12 10,40,1288461
219,1097,15 10 10,40,1288271
220,1083,12 13 10,40,1288271
221,1093,14 8 15,40,1288169
222,1074,10 12 15,40,1288169
223,1079,11 14 10,40,1287891
224,1097,15 7 15,40,1287681
225,1069,9 13 15,40,1287681
226,1074,10 15 10,40,1287322
227,1097,15 13 5,40,1287092
228,1064,8 14 15,40,1286999
229,1093,14 14 5,40,1286999
230,1088,13 15 5,40,1286722
231,1059,7 15 15,40,1286122
232,1086,13 11 11,40,1285853
233,1091,14 10 11,40,1285757
234,1082,12 12 11,40,1285757
235,1096,15 9 11,40,1285470
236,1077,11 13 11,40,1285470
237,1072,10 14 11,40,1284993
238,1095,15 12 6,40,1284807
239,1091,14 13 6,40,1284807
240,1086,13 14 6,40,1284621
241,1067,9 15 11,40,1284324
242,1081,12 15 6,40,1284249
243,1087,13 10 13,40,1283100
244,1084,13 10 12,40,1283100
245,1083,12 11 13,40,1283100
246,1080,12 11 12,40,1283100
