rank,cp,ivs,maxlevel,stat-product,stats
1,2286,15 15 15,40,3055126,170.7 133.56 134
2,2276,14 15 15,40,3040982,169.91 133.56 134
3,2279,15 14 15,40,3037048,170.7 132.77 134
4,2279,15 15 14,40,3032327,170.7 133.56 133
5,2265,13 15 15,40,3026838,169.12 133.56 134
6,2269,14 14 15,40,3022988,169.91 132.77 134
7,2273,15 13 15,40,3018971,170.7 131.98 134
8,2269,14 15 14,40,3018288,169.91 133.56 133
9,2273,15 14 14,40,3014384,170.7 132.77 133
10,2254,12 15 15,40,3012694,168.33 133.56 134
11,2273,15 15 13,40,3009527,170.7 133.56 132
12,2258,13 14 15,40,3008928,169.12 132.77 134
13,2262,14 13 15,40,3004994,169.91 131.98 134
14,2258,13 15 14,40,3004250,169.12 133.56 133
15,2266,15 12 15,40,3000893,170.7 131.19 134
16,2262,14 14 14,40,3000428,169.91 132.77 133
17,2244,11 15 15,40,2998550,167.54 133.56 134
18,2266,15 13 14,40,2996441,170.7 131.98 133
19,2262,14 15 13,40,2995594,169.91 133.56 132
20,2248,12 14 15,40,2994867,168.33 132.77 134
21,2266,15 14 13,40,2991719,170.7 132.77 132
22,2252,13 13 15,40,2991017,169.12 131.98 134
23,2248,12 15 14,40,2990211,168.33 133.56 133
24,2255,14 12 15,40,2987000,169.91 131.19 134
25,2266,15 15 12,40,2986728,170.7 133.56 131
26,2259,15 15 11,40,2986728,170.7 133.56 131
27,2252,13 14 14,40,2986473,169.12 132.77 133
28,2233,10 15 15,40,2984406,166.75 133.56 134
29,2259,15 11 15,40,2982815,170.7 130.4 134
30,2255,14 13 14,40,2982569,169.91 131.98 133
31,2252,13 15 13,40,2981661,169.12 133.56 132
32,2237,11 14 15,40,2980807,167.54 132.77 134
33,2259,15 12 14,40,2978498,170.7 131.19 133
34,2255,14 14 13,40,2977869,169.91 132.77 132
35,2241,12 13 15,40,2977041,168.33 131.98 134
36,2237,11 15 14,40,2976172,167.54 133.56 133
37,2259,15 13 13,40,2973912,170.7 131.98 132
38,2245,13 12 15,40,2973107,169.12 131.19 134
39,2255,14 15 12,40,2972900,169.91 133.56 131
40,2249,14 15 11,40,2972900,169.91 133.56 131
41,2241,12 14 14,40,2972517,168.33 132.77 133
42,2223,9 15 15,40,2970262,165.96 133.56 134
43,2259,15 14 12,40,2969055,170.7 132.77 131
44,2252,15 14 11,40,2969055,170.7 132.77 131
45,2248,14 11 15,40,2969006,169.91 130.4 134
46,2245,13 13 14,40,2968696,169.12 131.98 133
47,2241,12 15 13,40,2967728,168.33 133.56 132
48,2227,10 14 15,40,2966746,166.75 132.77 134
49,2252,15 10 15,40,2964738,170.7 129.61 134
50,2249,14 12 14,40,2964709,169.91 131.19 133
51,2245,13 14 13,40,2964018,169.12 132.77 132
52,2252,15 15 10,40,2963928,170.7 133.56 130
53,2231,11 13 15,40,2963064,167.54 131.98 134
54,2227,10 15 14,40,2962134,166.75 133.56 133
55,2252,15 11 14,40,2960556,170.7 130.4 133
56,2249,14 13 13,40,2960143,169.91 131.98 132
57,2234,12 12 15,40,2959214,168.33 131.19 134
58,2245,13 15 12,40,2959073,169.12 133.56 131
59,2238,13 15 11,40,2959073,169.12 133.56 131
60,2231,11 14 14,40,2958562,167.54 132.77 133
61,2212,8 15 15,40,2956117,165.17 133.56 134
