rank,cp,ivs,maxlevel,stat-product
1,816,15 15 15,40,833186
2,813,15 15 14,40,826626
3,812,15 14 15,40,825175
4,808,14 15 15,40,824937
5,811,15 15 13,40,820065
6,809,15 14 14,40,818677
7,805,14 15 14,40,818441
8,808,15 13 15,40,817164
9,804,14 14 15,40,817005
10,800,13 15 15,40,816688
11,808,15 15 12,40,813505
12,806,15 15 11,40,813505
13,807,15 14 13,40,812180
14,803,14 15 13,40,811946
15,805,15 13 14,40,810729
16,801,14 14 14,40,810572
17,797,13 15 14,40,810257
18,804,15 12 15,40,809152
19,800,14 13 15,40,809073
20,796,13 14 15,40,808835
21,792,12 15 15,40,808438
22,803,15 15 10,40,806944
23,804,15 14 12,40,805683
24,802,15 14 11,40,805683
25,800,14 15 12,40,805450
26,798,14 15 11,40,805450
27,803,15 13 13,40,804295
28,799,14 14 13,40,804139
29,795,13 15 13,40,803826
30,801,15 12 14,40,802781
31,797,14 13 14,40,802702
32,793,13 14 14,40,802466
33,789,12 15 14,40,802073
34,800,15 11 15,40,801141
35,796,14 12 15,40,801141
36,792,13 13 15,40,800982
37,788,12 14 15,40,800665
38,800,15 15 9,40,800384
39,783,11 15 15,40,800189
40,799,15 14 10,40,799185
41,795,14 15 10,40,798955
42,800,15 13 12,40,797860
43,798,15 13 11,40,797860
44,796,14 14 12,40,797706
45,794,14 14 11,40,797706
46,792,13 15 12,40,797396
47,790,13 15 11,40,797396
48,799,15 12 13,40,796410
49,795,14 13 13,40,796331
50,791,13 14 13,40,796097
51,787,12 15 13,40,795707
52,797,15 11 14,40,794832
53,793,14 12 14,40,794832
54,789,13 13 14,40,794675
55,785,12 14 14,40,794360
56,781,11 15 14,40,793888
57,798,15 15 8,40,793823
58,792,14 11 15,40,793209
59,796,15 10 15,40,793129
60,788,13 12 15,40,793129
61,784,12 13 15,40,792891
62,797,15 14 9,40,792688
63,780,11 14 15,40,792495
64,792,14 15 9,40,792459
65,775,10 15 15,40,791939
66,795,15 13 10,40,791426
67,791,14 14 10,40,791272
68,787,13 15 10,40,790965
69,796,15 12 12,40,790038
70,794,15 12 11,40,790038
71,792,14 13 12,40,789961
72,790,14 13 11,40,789961
73,788,13 14 12,40,789728
74,786,13 14 11,40,789728
75,784,12 15 12,40,789341
76,782,12 15 11,40,789341
77,795,15 11 13,40,788524
78,791,14 12 13,40,788524
79,787,13 13 13,40,788368
80,783,12 14 13,40,788056
81,779,11 15 13,40,787587
82,795,15 15 7,40,787263
83,793,15 15 6,40,787263
84,790,14 11 14,40,786963
85,793,15 10 14,40,786884
86,786,13 12 14,40,786884
