rank,cp,ivs,maxlevel,stat-product,stats
1,2499,0 13 15,37.5,3640105,171.51 133.48 159
2,2500,0 14 14,37.5,3638242,171.51 134.26 158
3,2495,0 15 15,37,3632178,170.87 134.53 158
4,2499,1 14 15,37,3627644,171.65 133.76 158
5,2500,1 15 14,37,3625520,171.65 134.53 157
6,2498,0 12 13,38,3622808,172.14 133.2 158
7,2499,0 13 12,38,3620931,172.14 133.98 157
8,2500,0 15 7,38.5,3619449,172.78 136.03 154
9,2492,0 12 15,37.5,3618942,171.51 132.71 159
10,2500,0 14 11,38,3618786,172.14 134.76 156
11,2499,2 15 12,37,3618655,172.42 134.53 156
12,2493,0 13 14,37.5,3617211,171.51 133.48 158
13,2495,0 15 9,38,3616372,172.14 135.53 155
14,2494,0 14 13,37.5,3615215,171.51 134.26 157
15,2499,2 15 15,36.5,3614685,171.78 134.03 157
16,2492,2 15 14,36.5,3614685,171.78 134.03 157
17,2496,1 11 15,37.5,3614058,172.29 131.93 159
18,2495,0 15 12,37.5,3612952,171.51 135.04 156
19,2497,1 12 14,37.5,3612453,172.29 132.71 158
20,2499,1 14 9,38,3611858,172.92 134.76 155
21,2488,0 14 15,37,3611303,170.87 133.76 158
22,2498,1 13 13,37.5,3610582,172.29 133.48 157
23,2496,3 14 14,36.5,3610027,172.55 133.26 157
24,2500,1 15 8,38,3609299,172.92 135.53 154
25,2489,0 15 14,37,3609189,170.87 134.53 157
26,2499,0 8 15,38.5,3609183,172.78 130.56 160
27,2499,2 10 15,37.5,3608983,173.06 131.15 159
28,2499,1 14 12,37.5,3608442,172.29 134.26 156
29,2500,0 9 14,38.5,3608103,172.78 131.34 159
30,2497,3 15 13,36.5,3607767,172.55 134.03 156
31,2492,1 13 15,37,3606675,171.65 132.99 158
32,2500,1 15 11,37.5,3606036,172.29 135.04 155
33,2494,1 15 10,37.5,3606036,172.29 135.04 155
34,2500,4 13 14,36.5,3605183,173.32 132.49 157
35,2496,0 11 11,38.5,3605131,172.78 132.9 157
36,2493,1 14 14,37,3604684,171.65 133.76 157
37,2491,3 15 15,36,3603606,171.9 133.53 157
38,2497,0 12 10,38.5,3603240,172.78 133.69 156
39,2495,0 10 15,38,3603097,172.14 131.64 159
40,2494,1 15 13,37,3602428,171.65 134.53 156
41,2488,1 15 12,37,3602428,171.65 134.53 156
42,2496,2 12 15,37,3601857,172.42 132.21 158
43,2497,0 11 14,38,3601622,172.14 132.42 158
44,2490,0 11 13,38,3601622,172.14 132.42 158
45,2498,2 14 10,37.5,3601461,173.06 134.26 155
46,2499,0 14 5,39,3601366,173.4 135.74 153
47,2498,0 13 9,38.5,3601079,172.78 134.47 155
48,2500,1 10 11,38.5,3600141,173.56 132.12 157
49,2497,2 13 14,37,3599991,172.42 132.99 157
50,2492,0 12 12,38,3599879,172.14 133.2 157
51,2499,2 15 9,37.5,3598909,173.06 135.04 154
52,2495,4 14 15,36,3598890,172.66 132.76 157
53,2499,0 14 8,38.5,3598648,172.78 135.25 154
54,2493,0 14 7,38.5,3598648,172.78 135.25 154
55,2499,0 15 4,39,3598509,173.4 136.53 152
56,2487,1 15 15,36.5,3598475,171.01 134.03 157
57,2499,1 9 15,38,3597984,172.92 130.86 159
58,2493,0 13 11,38,3597868,172.14 133.98 156
59,2498,2 14 13,37,3597858,172.42 133.76 156
60,2492,2 14 12,37,3597858,172.42 133.76 156
61,2484,0 11 15,37.5,3597778,171.51 131.93 159
62,2499,3 11 15,37,3596851,173.19 131.44 158
63,2496,4 15 14,36,3596638,172.66 133.53 156
64,2500,1 10 14,38,3596637,172.92 131.64 158
65,2494,1 10 13,38,3596637,172.92 131.64 158
66,2486,0 12 14,37.5,3596181,171.51 132.71 158
67,2494,0 15 6,38.5,3595946,172.78 136.03 153
68,2494,0 14 10,38,3595588,172.14 134.76 155
69,2487,0 14 9,38,3595588,172.14 134.76 155
70,2493,2 15 11,37,3595458,172.42 134.53 155
71,2496,1 11 12,38,3595021,172.92 132.42 157
72,2487,0 13 13,37.5,3594318,171.51 133.48 157
73,2497,1 13 7,38.5,3594036,173.56 134.47 154
74,2499,5 13 15,36,3593990,173.43 131.99 157
75,2491,2 14 15,36.5,3593911,171.78 133.26 157
76,2485,2 14 14,36.5,3593911,171.78 133.26 157
77,2497,1 12 11,38,3593135,172.92 133.2 156
78,2496,3 13 12,37,3593102,173.19 132.99 156
79,2488,0 15 8,38,3593040,172.14 135.53 154
80,2488,1 10 15,37.5,3592799,172.29 131.15 159
81,2488,0 14 12,37.5,3592188,171.51 134.26 156
82,2496,0 6 14,39,3591978,173.4 129.47 160
83,2500,5 14 14,36,3591861,173.43 132.76 156
84,2486,2 15 13,36.5,3591661,171.78 134.03 156
85,2498,2 9 13,38,3591461,173.7 130.86 158
86,2498,1 14 6,38.5,3591457,173.56 135.25 153
87,2489,1 11 14,37.5,3591328,172.29 131.93 158
88,2497,0 7 13,39,3591162,173.4 130.25 159
89,2498,1 13 10,38,3590980,172.92 133.98 155
90,2491,1 13 9,38,3590980,172.92 133.98 155
91,2497,3 14 11,37,3590825,173.19 133.76 155
92,2498,0 8 12,39,3590073,173.4 131.03 158
93,2499,2 10 12,38,3589972,173.7 131.64 157
94,2500,0 10 7,39.5,3589902,174.03 133.08 155
95,2489,0 15 11,37.5,3589792,171.51 135.04 155
96,2483,0 15 10,37.5,3589792,171.51 135.04 155
97,2491,1 12 13,37.5,3589590,172.29 132.71 157
98,2495,5 15 12,36,3589465,173.43 133.53 155
99,2497,7 15 15,35,3589395,173.64 132.51 156
100,2495,3 13 15,36.5,3589160,172.55 132.49 157
101,2489,3 13 14,36.5,3589160,172.55 132.49 157
102,2500,0 9 11,39,3588713,173.4 131.82 157
103,2499,1 15 5,38.5,3588608,173.56 136.03 152
104,2492,1 14 8,38,3588555,172.92 134.76 154
105,2498,3 15 10,37,3588281,173.19 134.53 154
106,2499,4 12 12,37,3588159,173.97 132.21 156
107,2492,2 9 15,37.5,3587628,173.06 130.38 159
108,2492,1 13 12,37.5,3587584,172.29 133.48 156
109,2491,0 7 15,38.5,3587572,172.78 129.78 160
110,2495,0 10 9,39,3587080,173.4 132.6 156
111,2490,3 14 13,36.5,3587033,172.55 133.26 156
112,2493,0 8 14,38.5,3586626,172.78 130.56 159
113,2499,1 5 14,39,3586364,174.19 128.68 160
114,2493,2 10 14,37.5,3586285,173.06 131.15 158
115,2483,0 15 13,37,3586201,170.87 134.53 156
116,2495,2 12 9,38,3586184,173.7 133.2 155
117,2500,4 13 11,37,3586007,173.97 132.99 155
118,2493,1 15 7,38,3585862,172.92 135.53 153
119,2484,1 12 15,37,3585706,171.65 132.21 158
120,2494,0 9 13,38.5,3585410,172.78 131.34 158
121,2493,1 14 11,37.5,3585311,172.29 134.26 155
122,2487,1 14 10,37.5,3585311,172.29 134.26 155
123,2494,5 15 15,35.5,3585266,172.77 133.02 156
124,2496,0 11 8,39,3585175,173.4 133.39 155
125,2495,2 11 13,37.5,3584673,173.06 131.93 157
126,2491,3 15 12,36.5,3584641,172.55 134.03 155
127,2498,6 14 12,36,3584627,174.2 132.76 155
128,2499,4 12 15,36.5,3584222,173.32 131.72 157
129,2493,4 12 14,36.5,3584222,173.32 131.72 157
130,2495,0 10 12,38.5,3583925,172.78 132.12 157
131,2489,0 10 11,38.5,3583925,172.78 132.12 157
132,2496,2 13 8,38,3583884,173.7 133.98 154
133,2485,1 13 14,37,3583848,171.65 132.99 157
134,2497,0 12 7,39,3582998,173.4 134.17 154
135,2484,3 14 15,36,3582895,171.9 132.76 157
136,2496,2 12 12,37.5,3582793,173.06 132.71 156
137,2487,1 15 9,37.5,3582771,172.29 135.04 154
138,2496,3 8 15,37.5,3582265,173.84 129.6 159
139,2494,4 13 13,36.5,3582220,173.32 132.49 156
140,2490,0 11 10,38.5,3582169,172.78 132.9 156
141,2495,1 6 15,38.5,3582095,173.56 129 160
142,2499,6 15 11,36,3582087,174.2 133.53 154
143,2499,1 9 9,39,3581990,174.19 131.82 156
144,2488,0 9 15,38,3581777,172.14 130.86 159
145,2487,1 14 13,37,3581724,171.65 133.76 156
