rank,cp,ivs,maxlevel,stat-product
1,1498,0 14 13,24.0,1900767
2,1469,0 11 15,24.0,1899919
3,1495,0 13 13,24.0,1893675
4,1497,0 10 15,24.0,1892749
5,1498,1 11 13,24.0,1889931
6,1469,1 8 15,24.0,1888846
7,1496,2 15 15,23.5,1888832
8,1470,0 4 13,24.5,1888253
9,1496,0 15 12,24.0,1887122
10,1492,0 12 13,24.0,1886582
11,1498,0 12 14,24.0,1886582
12,1495,0 9 15,24.0,1885580
13,1499,3 13 15,23.5,1885090
14,1499,0 15 7,24.5,1884082
15,1498,1 13 12,24.0,1883497
16,1499,0 9 10,24.5,1883452
17,1495,1 10 13,24.0,1882800
18,1469,1 10 14,24.0,1882800
19,1499,4 14 13,23.5,1881811
20,1494,2 14 15,23.5,1881811
21,1497,1 7 15,24.0,1881637
22,1498,0 3 13,24.5,1880934
23,1493,0 14 12,24.0,1880106
24,1499,2 14 10,24.0,1880106
25,1490,0 11 13,24.0,1879490
26,1495,0 11 14,24.0,1879490
27,1499,0 0 15,24.5,1878967
28,1498,2 8 13,24.0,1878859
29,1494,3 15 13,23.5,1878567
30,1499,3 15 14,23.5,1878567
31,1488,1 15 15,23.5,1878454
32,1492,0 8 15,24.0,1878410
33,1468,5 15 11,23.5,1878229
34,1496,3 12 15,23.5,1878030
35,1468,2 5 15,24.0,1877534
36,1496,0 14 7,24.5,1877078
37,1499,0 11 9,24.5,1876921
38,1493,1 15 10,24.0,1876753
39,1498,1 15 11,24.0,1876753
40,1469,1 1 13,24.5,1876665
41,1495,1 12 12,24.0,1876443
42,1499,3 15 8,24.0,1876407
43,1496,0 8 10,24.5,1876291
44,1492,1 9 13,24.0,1875668
45,1498,1 9 14,24.0,1875668
46,1498,0 5 12,24.5,1875189
47,1491,2 13 15,23.5,1874789
48,1497,4 13 13,23.5,1874789
49,1469,3 6 13,24.0,1874761
50,1494,1 6 15,24.0,1874427
51,1499,4 10 15,23.5,1874095
52,1495,0 2 13,24.5,1873615
53,1469,0 2 14,24.5,1873615
54,1499,1 12 7,24.5,1873420
55,1496,2 13 10,24.0,1873091
56,1490,0 13 12,24.0,1873091
57,1498,2 10 12,24.0,1872623
58,1487,0 10 13,24.0,1872397
59,1492,0 10 14,24.0,1872397
60,1498,1 6 10,24.5,1872313
61,1495,2 7 13,24.0,1871688
62,1469,2 7 14,24.0,1871688
63,1491,3 14 13,23.5,1871584
64,1497,3 14 14,23.5,1871584
65,1485,1 14 15,23.5,1871471
66,1497,5 14 11,23.5,1871246
67,1489,0 7 15,24.0,1871241
68,1493,3 11 15,23.5,1870970
69,1499,5 11 13,23.5,1870858
70,1497,2 4 15,24.0,1870285
71,1494,0 13 7,24.5,1870074
72,1499,0 13 8,24.5,1870074
73,1496,0 10 9,24.5,1869838
74,1490,1 14 10,24.0,1869776
75,1496,1 14 11,24.0,1869776
76,1496,3 14 8,24.0,1869432
77,1493,1 11 12,24.0,1869389
78,1497,1 0 13,24.5,1869305
79,1498,3 11 10,24.0,1869275
80,1493,0 7 10,24.5,1869130
81,1498,0 7 11,24.5,1869130
82,1497,6 15 15,23.0,1868754
83,1489,1 8 13,24.0,1868536
84,1495,1 8 14,24.0,1868536
85,1486,2 15 13,23.5,1868302
86,1491,2 15 14,23.5,1868302
87,1480,0 15 15,23.5,1868076
88,1492,4 15 11,23.5,1868076
89,1497,4 15 12,23.5,1868076
90,1495,0 4 12,24.5,1867949
91,1494,4 12 13,23.5,1867767
92,1488,2 12 15,23.5,1867767
93,1499,4 12 14,23.5,1867767
94,1497,3 5 13,24.0,1867551
95,1499,6 12 11,23.5,1867321
96,1491,1 5 15,24.0,1867218
97,1496,4 9 15,23.5,1866996
98,1485,0 15 10,24.0,1866384
99,1490,0 15 11,24.0,1866384
100,1496,1 11 7,24.5,1866377
101,1499,1 14 6,24.5,1866298
102,1492,0 1 13,24.5,1866297
103,1497,0 1 14,24.5,1866297
104,1490,2 15 8,24.0,1866154
105,1496,2 15 9,24.0,1866154
106,1487,0 12 12,24.0,1866076
107,1493,2 12 10,24.0,1866076
108,1498,2 12 11,24.0,1866076
109,1499,3 2 15,24.0,1865983
110,1499,1 8 9,24.5,1865982
111,1499,0 10 4,25.0,1865632
112,1498,4 12 8,24.0,1865620
113,1495,2 9 12,24.0,1865530
114,1484,0 9 13,24.0,1865305
115,1489,0 9 14,24.0,1865305
116,1496,1 5 10,24.5,1865111
117,1499,7 13 15,23.0,1864832
118,1498,0 4 7,25.0,1864669
119,1489,3 13 13,23.5,1864600
120,1494,3 13 14,23.5,1864600
121,1492,2 6 13,24.0,1864517
122,1497,2 6 14,24.0,1864517
123,1483,1 13 15,23.5,1864488
124,1494,5 13 11,23.5,1864264
125,1499,5 13 12,23.5,1864264
126,1486,0 6 15,24.0,1864071
127,1491,3 10 15,23.5,1863909
128,1496,5 10 13,23.5,1863799
129,1498,1 2 12,24.5,1863766
130,1470,0 1 9,25.0,1863464
131,1468,4 3 13,24.0,1863256
132,1491,0 12 7,24.5,1863070
133,1496,0 12 8,24.5,1863070
134,1494,2 3 15,24.0,1863036
135,1494,0 15 6,24.5,1862913
136,1498,5 7 15,23.5,1862868
137,1488,1 13 10,24.0,1862799
138,1493,1 13 11,24.0,1862799
139,1493,0 9 9,24.5,1862755
140,1499,2 9 7,24.5,1862525
141,1493,3 13 8,24.0,1862456
142,1498,3 13 9,24.0,1862456
143,1490,1 10 12,24.0,1862334
144,1495,3 10 10,24.0,1862221
145,1499,2 15 4,24.5,1862207
146,1490,0 6 10,24.5,1861968
147,1496,0 6 11,24.5,1861968
148,1494,6 14 15,23.0,1861807
149,1498,3 7 12,24.0,1861516
150,1487,1 7 13,24.0,1861404
151,1492,1 7 14,24.0,1861404
152,1483,2 14 13,23.5,1861356
153,1488,2 14 14,23.5,1861356
154,1499,8 14 13,23.0,1861147
155,1489,4 14 11,23.5,1861132
156,1477,0 14 15,23.5,1861132
157,1494,4 14 12,23.5,1861132
158,1498,2 3 10,24.5,1860934
159,1485,2 11 15,23.5,1860746
160,1491,4 11 13,23.5,1860746
161,1496,4 11 14,23.5,1860746
162,1492,0 3 12,24.5,1860709
163,1468,6 14 10,23.5,1860457
164,1494,3 4 13,24.0,1860340
165,1468,3 4 14,24.0,1860340
166,1497,6 11 11,23.5,1860301
167,1488,1 4 15,24.0,1860009
168,1493,4 8 15,23.5,1859897
169,1499,6 8 13,23.5,1859677
170,1482,0 14 10,24.0,1859446
171,1487,0 14 11,24.0,1859446
172,1469,2 0 12,24.5,1859422
173,1493,1 10 7,24.5,1859335
174,1499,1 10 8,24.5,1859335
175,1496,1 13 6,24.5,1859335
176,1488,2 14 8,24.0,1859216
177,1493,2 14 9,24.0,1859216
178,1484,0 11 12,24.0,1859061
179,1490,2 11 10,24.0,1859061
180,1496,2 11 11,24.0,1859061
181,1489,0 0 13,24.5,1858978
182,1494,0 0 14,24.5,1858978
183,1496,1 7 9,24.5,1858860
184,1489,5 15 15,23.0,1858707
185,1496,3 1 15,24.0,1858694
186,1496,4 11 8,24.0,1858607
187,1496,0 9 4,25.0,1858566
188,1498,4 14 7,24.0,1858528
189,1492,2 8 12,24.0,1858437
190,1499,0 12 3,25.0,1858405
191,1498,0 6 6,25.0,1858244
192,1481,0 8 13,24.0,1858213
193,1486,0 8 14,24.0,1858213
194,1498,4 8 10,24.0,1858213
195,1494,7 15 13,23.0,1858155
196,1467,7 15 14,23.0,1858155
197,1478,1 15 13,23.5,1858036
198,1483,1 15 14,23.5,1858036
199,1483,3 15 11,23.5,1857923
200,1489,3 15 12,23.5,1857923
201,1493,1 4 10,24.5,1857910
202,1498,1 4 11,24.5,1857910
203,1496,7 12 15,23.0,1857848
204,1495,0 15 1,25.0,1857763
205,1486,3 12 13,23.5,1857617
206,1491,3 12 14,23.5,1857617
207,1480,1 12 15,23.5,1857505
208,1495,0 3 7,25.0,1857441
209,1494,5 15 10,23.5,1857359
210,1469,4 5 12,24.0,1857346
211,1489,2 5 13,24.0,1857346
212,1494,2 5 14,24.0,1857346
213,1491,5 12 11,23.5,1857282
214,1497,5 12 12,23.5,1857282
215,1499,9 15 11,23.0,1857161
216,1483,0 5 15,24.0,1856902
217,1488,3 9 15,23.5,1856849
218,1493,5 9 13,23.5,1856739
219,1499,5 9 14,23.5,1856739
220,1470,3 1 10,24.5,1856597
221,1495,1 1 12,24.5,1856486
222,1499,7 15 8,23.5,1856344
223,1499,7 9 11,23.5,1856187
224,1498,0 0 9,25.0,1856157
225,1488,0 11 7,24.5,1856066
226,1493,0 11 8,24.5,1856066
227,1497,4 2 13,24.0,1856006
228,1491,0 14 6,24.5,1855987
229,1482,1 15 8,24.0,1855900
230,1488,1 15 9,24.0,1855900
231,1485,1 12 10,24.0,1855823
232,1490,1 12 11,24.0,1855823
233,1491,2 2 15,24.0,1855787
234,1495,5 6 15,23.5,1855730
235,1490,0 8 9,24.5,1855672
236,1499,2 11 6,24.5,1855603
237,1490,3 12 8,24.0,1855481
238,1496,3 12 9,24.0,1855481
239,1496,2 8 7,24.5,1855443
240,1493,3 15 7,24.0,1855324
241,1496,2 14 4,24.5,1855284
242,1487,1 9 12,24.0,1855280
243,1493,3 9 10,24.0,1855167
244,1498,3 9 11,24.0,1855167
245,1491,6 13 15,23.0,1854860
246,1487,0 5 10,24.5,1854807
247,1493,0 5 11,24.5,1854807
248,1498,2 5 9,24.5,1854807
249,1498,1 7 4,25.0,1854679
250,1498,5 9 8,24.0,1854604
251,1480,2 13 13,23.5,1854411
252,1486,2 13 14,23.5,1854411
253,1495,3 6 12,24.0,1854384
254,1498,5 15 5,24.0,1854287
255,1484,1 6 13,24.0,1854272
256,1489,1 6 14,24.0,1854272
257,1497,8 13 13,23.0,1854203
258,1498,1 13 1,25.0,1854194
259,1474,0 13 15,23.5,1854187
260,1486,4 13 11,23.5,1854187
261,1491,4 13 12,23.5,1854187
262,1469,5 6 10,24.0,1854050
263,1499,8 10 15,23.0,1853740
264,1488,4 10 13,23.5,1853724
265,1482,2 10 15,23.5,1853724
266,1493,4 10 14,23.5,1853724
267,1495,2 2 10,24.5,1853693
268,1497,6 13 10,23.5,1853515
269,1489,0 2 12,24.5,1853469
270,1494,6 10 11,23.5,1853281
271,1499,6 10 12,23.5,1853281
272,1498,1 1 7,25.0,1853225
273,1491,3 3 13,24.0,1853130
274,1497,3 3 14,24.0,1853130
275,1470,0 6 1,25.5,1852801
276,1486,1 3 15,24.0,1852799
277,1490,4 7 15,23.5,1852798
278,1496,6 7 13,23.5,1852579
279,1479,0 13 10,24.0,1852508
280,1485,0 13 11,24.0,1852508
281,1494,1 12 6,24.5,1852371
282,1491,1 9 7,24.5,1852292
283,1496,1 9 8,24.5,1852292
284,1485,2 13 8,24.0,1852279
285,1490,2 13 9,24.0,1852279
286,1487,2 10 10,24.0,1852045
287,1482,0 10 12,24.0,1852045
288,1493,2 10 11,24.0,1852045
289,1491,1 15 4,24.5,1851975
290,1496,1 15 5,24.5,1851975
291,1486,5 14 15,23.0,1851797
292,1493,1 6 9,24.5,1851738
293,1499,0 0 4,25.5,1851654
294,1493,4 10 8,24.0,1851593
295,1498,4 10 9,24.0,1851593
296,1496,4 13 7,24.0,1851593
297,1499,3 12 4,24.5,1851557
298,1499,5 0 13,24.0,1851514
299,1493,0 8 4,25.0,1851499
300,1499,0 8 5,25.0,1851499
301,1496,0 11 3,25.0,1851419
302,1498,6 4 15,23.5,1851409
303,1493,3 0 15,24.0,1851405
304,1498,3 6 7,24.5,1851397
305,1490,2 7 12,24.0,1851344
306,1491,7 14 13,23.0,1851247
307,1497,7 14 14,23.0,1851247
308,1475,1 14 13,23.5,1851129
309,1480,1 14 14,23.5,1851129
310,1478,0 7 13,24.0,1851120
311,1484,0 7 14,24.0,1851120
312,1495,4 7 10,24.0,1851120
313,1469,4 7 11,24.0,1851120
314,1496,0 5 6,25.0,1851097
315,1481,3 14 11,23.5,1851017
316,1486,3 14 12,23.5,1851017
317,1494,7 11 15,23.0,1850864
318,1493,0 14 1,25.0,1850856
319,1498,0 14 2,25.0,1850856
320,1490,1 3 10,24.5,1850709
321,1495,1 3 11,24.5,1850709
322,1483,3 11 13,23.5,1850633
323,1488,3 11 14,23.5,1850633
324,1477,1 11 15,23.5,1850522
325,1491,5 14 10,23.5,1850455
326,1469,6 7 8,24.0,1850449
327,1488,5 11 11,23.5,1850300
328,1494,5 11 12,23.5,1850300
329,1497,9 14 11,23.0,1850257
330,1492,0 2 7,25.0,1850214
331,1498,0 2 8,25.0,1850214
332,1497,4 4 12,24.0,1850174
333,1486,2 4 13,24.0,1850174
334,1491,2 4 14,24.0,1850174
335,1499,9 11 13,23.0,1850102
336,1485,3 8 15,23.5,1849789
337,1480,0 4 15,24.0,1849732
338,1491,5 8 13,23.5,1849679
339,1496,5 8 14,23.5,1849679
340,1499,7 11 10,23.5,1849522
341,1497,7 14 8,23.5,1849443
342,1497,3 0 10,24.5,1849316
343,1492,1 0 12,24.5,1849205
344,1496,7 8 11,23.5,1849130
345,1485,0 10 7,24.5,1849062
346,1491,0 10 8,24.5,1849062
347,1488,0 13 6,24.5,1849062
348,1479,1 14 8,24.0,1849001
349,1485,1 14 9,24.0,1849001
350,1482,1 11 10,24.0,1848846
351,1487,1 11 11,24.0,1848846
352,1494,4 1 13,24.0,1848756
353,1499,4 1 14,24.0,1848756
354,1481,4 15 15,23.0,1848660
355,1496,2 10 6,24.5,1848600
356,1493,5 5 15,23.5,1848593
357,1488,0 7 9,24.5,1848590
358,1488,2 1 15,24.0,1848538
359,1487,3 11 8,24.0,1848505
360,1493,3 11 9,24.0,1848505
361,1490,3 14 7,24.0,1848427
362,1493,2 7 7,24.5,1848362
363,1499,2 7 8,24.5,1848362
364,1493,2 13 4,24.5,1848362
365,1499,2 13 5,24.5,1848362
366,1498,7 5 13,23.5,1848267
367,1484,1 8 12,24.0,1848226
368,1486,6 15 13,23.0,1848218
369,1492,6 15 14,23.0,1848218
370,1490,3 8 10,24.0,1848114
371,1495,3 8 11,24.0,1848114
372,1488,6 12 15,23.0,1847913
373,1470,0 15 13,23.5,1847771
374,1475,0 15 14,23.5,1847771
